"cc", "periodstart"
"btc","2019-04-01"
"eth","2019-04-01"
"xrp","2019-04-01"
"eos","2019-04-01"
"ltc","2019-04-01"
"bch","2019-04-01"
"bnb","2019-04-01"
"ada","2019-04-01"
"xlm","2019-04-01"
"usdt","2019-04-01"
"trx","2019-04-01"
"bsv","2019-04-01"
"xmr","2019-04-01"
"dash","2019-04-01"
"miota","2019-04-01"
"ont","2019-04-01"
"xtz","2019-04-01"
"mkr","2019-04-01"
"neo","2019-04-01"
"etc","2019-04-01"
"okb","2019-04-01"
"xem","2019-04-01"
"zec","2019-04-01"
"bat","2019-04-01"
"vet","2019-04-01"
"btc","2019-03-01"
"eth","2019-03-01"
"xrp","2019-03-01"
"ltc","2019-03-01"
"bch","2019-03-01"
"usdt","2019-03-01"
"xlm","2019-03-01"
"bsv","2019-03-01"
"xmr","2019-03-01"
"miota","2019-03-01"
"dash","2019-03-01"
"neo","2019-03-01"
"mkr","2019-03-01"
"etc","2019-03-01"
"xem","2019-03-01"
"zec","2019-03-01"
"waves","2019-03-01"
"doge","2019-03-01"
"btg","2019-03-01"
"okb","2019-03-01"
"hot","2019-03-01"
"bat","2019-03-01"
"omg","2019-03-01"
"qtum","2019-03-01"
"lsk","2019-03-01"
"dcr","2019-03-01"
"zrx","2019-03-01"
"rep","2019-03-01"
"zb","2019-03-01"
"icx","2019-03-01"
"npxs","2019-03-01"
"bcn","2019-03-01"
"dgb","2019-03-01"
"bts","2019-03-01"
"nano","2019-03-01"
"kmd","2019-03-01"
"steem","2019-03-01"
"theta","2019-03-01"
"iost","2019-03-01"
"xvg","2019-03-01"
"sc","2019-03-01"
"dai","2019-03-01"
"strat","2019-03-01"
"ark","2019-03-01"
"SNT","2019-03-01"
"xin","2019-03-01"
"fct","2019-03-01"
"maid","2019-03-01"
"ardr","2019-03-01"
"elf","2019-03-01"
"qkc","2019-03-01"
"ht","2019-03-01"
"lrc","2019-03-01"
"pivx","2019-03-01"
"mco","2019-03-01"
"btc","2019-02-01"
"xrp","2019-02-01"
"eth","2019-02-01"
"usdt","2019-02-01"
"xlm","2019-02-01"
"eos","2019-02-01"
"bch","2019-02-01"
"ltc","2019-02-01"
"ada","2019-02-01"
"trx","2019-02-01"
"xmr","2019-02-01"
"bnb","2019-02-01"
"miota","2019-02-01"
"xem","2019-02-01"
"dash","2019-02-01"
"etc","2019-02-01"
"neo","2019-02-01"
"ont","2019-02-01"
"xtz","2019-02-01"
"zec","2019-02-01"
"mkr","2019-02-01"
"doge","2019-02-01"
"tusd","2019-02-01"
"waves","2019-02-01"
"btg","2019-02-01"
"okb","2019-02-01"
"vet","2019-02-01"
"zrx","2019-02-01"
"omg","2019-02-01"
"qtum","2019-02-01"
"lsk","2019-02-01"
"dcr","2019-02-01"
"zb","2019-02-01"
"nano","2019-02-01"
"zil","2019-02-01"
"bcd","2019-02-01"
"bcn","2019-02-01"
"bts","2019-02-01"
"icx","2019-02-01"
"dgb","2019-02-01"
"sc","2019-02-01"
"xvg","2019-02-01"
"ae","2019-02-01"
"npxs","2019-02-01"
"hot","2019-02-01"
"link","2019-02-01"
"fct","2019-02-01"
"rep","2019-02-01"
"qash","2019-02-01"
"steem","2019-02-01"
"qkc","2019-02-01"
"kmd","2019-02-01"
"mana","2019-02-01"
"strat","2019-02-01"
"maid","2019-02-01"
"btc","2019-01-01"
"eth","2019-01-01"
"xrp","2019-01-01"
"bch","2019-01-01"
"eos","2019-01-01"
"xlm","2019-01-01"
"ltc","2019-01-01"
"ada","2019-01-01"
"usdt","2019-01-01"
"xmr","2019-01-01"
"trx","2019-01-01"
"bnb","2019-01-01"
"dash","2019-01-01"
"miota","2019-01-01"
"xtz","2019-01-01"
"neo","2019-01-01"
"ont","2019-01-01"
"etc","2019-01-01"
"xem","2019-01-01"
"zec","2019-01-01"
"vet","2019-01-01"
"mkr","2019-01-01"
"doge","2019-01-01"
"btg","2019-01-01"
"zrx","2019-01-01"
"omg","2019-01-01"
"bcn","2019-01-01"
"okb","2019-01-01"
"lsk","2019-01-01"
"dcr","2019-01-01"
"btc","2018-12-01"
"eth","2018-12-01"
"xrp","2018-12-01"
"bch","2018-12-01"
"eos","2018-12-01"
"xlm","2018-12-01"
"ltc","2018-12-01"
"ada","2018-12-01"
"usdt","2018-12-01"
"xmr","2018-12-01"
"trx","2018-12-01"
"bnb","2018-12-01"
"dash","2018-12-01"
"miota","2018-12-01"
"xtz","2018-12-01"
"neo","2018-12-01"
"ont","2018-12-01"
"etc","2018-12-01"
"xem","2018-12-01"
"zec","2018-12-01"
"vet","2018-12-01"
"mkr","2018-12-01"
"doge","2018-12-01"
"btg","2018-12-01"
"zrx","2018-12-01"
"omg","2018-12-01"
"bcn","2018-12-01"
"okb","2018-12-01"
"lsk","2018-12-01"
"dcr","2018-12-01"
"btc","2018-11-01"
"eth","2018-11-01"
"xrp","2018-11-01"
"bch","2018-11-01"
"eos","2018-11-01"
"xlm","2018-11-01"
"ltc","2018-11-01"
"ada","2018-11-01"
"usdt","2018-11-01"
"xmr","2018-11-01"
"trx","2018-11-01"
"bnb","2018-11-01"
"dash","2018-11-01"
"miota","2018-11-01"
"xtz","2018-11-01"
"neo","2018-11-01"
"ont","2018-11-01"
"etc","2018-11-01"
"xem","2018-11-01"
"zec","2018-11-01"
"vet","2018-11-01"
"mkr","2018-11-01"
"doge","2018-11-01"
"btg","2018-11-01"
"zrx","2018-11-01"
"omg","2018-11-01"
"bcn","2018-11-01"
"okb","2018-11-01"
"lsk","2018-11-01"
"dcr","2018-11-01"
"btc","2018-10-01"
"eth","2018-10-01"
"xrp","2018-10-01"
"bch","2018-10-01"
"eos","2018-10-01"
"xlm","2018-10-01"
"ltc","2018-10-01"
"usdt","2018-10-01"
"ada","2018-10-01"
"xmr","2018-10-01"
"dash","2018-10-01"
"miota","2018-10-01"
"trx","2018-10-01"
"bnb","2018-10-01"
"neo","2018-10-01"
"btc","2018-09-01"
"eth","2018-09-01"
"xrp","2018-09-01"
"bch","2018-09-01"
"eos","2018-09-01"
"xlm","2018-09-01"
"ltc","2018-09-01"
"ada","2018-09-01"
"usdt","2018-09-01"
"miota","2018-09-01"
"xmr","2018-09-01"
"trx","2018-09-01"
"dash","2018-09-01"
"ont","2018-09-01"
"etc","2018-09-01"
"btc","2018-08-01"
"eth","2018-08-01"
"xrp","2018-08-01"
"bch","2018-08-01"
"eos","2018-08-01"
"xlm","2018-08-01"
"ada","2018-08-01"
"ltc","2018-08-01"
"miota","2018-08-01"
"usdt","2018-08-01"
"trx","2018-08-01"
"xmr","2018-08-01"
"neo","2018-08-01"
"dash","2018-08-01"
"etc","2018-08-01"
"btc","2018-07-01"
"eth","2018-07-01"
"xrp","2018-07-01"
"bch","2018-07-01"
"eos","2018-07-01"
"ltc","2018-07-01"
"ada","2018-07-01"
"xlm","2018-07-01"
"usdt","2018-07-01"
"miota","2018-07-01"
"trx","2018-07-01"
"xmr","2018-07-01"
"neo","2018-07-01"
"dash","2018-07-01"
"bnb","2018-07-01"
"etc","2018-07-01"
"ven","2018-07-01"
"xem","2018-07-01"
"ht","2018-07-01"
"ont","2018-07-01"
"btc","2018-06-01"
"eth","2018-06-01"
"xrp","2018-06-01"
"bch","2018-06-01"
"eos","2018-06-01"
"ltc","2018-06-01"
"ada","2018-06-01"
"xlm","2018-06-01"
"miota","2018-06-01"
"trx","2018-06-01"
"neo","2018-06-01"
"usdt","2018-06-01"
"xmr","2018-06-01"
"dash","2018-06-01"
"xem","2018-06-01"
"ven","2018-06-01"
"etc","2018-06-01"
"bnb","2018-06-01"
"bcn","2018-06-01"
"qtum","2018-06-01"
"btc","2018-05-01"
"eth","2018-05-01"
"xrp","2018-05-01"
"bch","2018-05-01"
"eos","2018-05-01"
"ada","2018-05-01"
"ltc","2018-05-01"
"xlm","2018-05-01"
"neo","2018-05-01"
"trx","2018-05-01"
"xmr","2018-05-01"
"dash","2018-05-01"
"xem","2018-05-01"
"ven","2018-05-01"
"usdt","2018-05-01"
"etc","2018-05-01"
"qtum","2018-05-01"
"omg","2018-05-01"
"icx","2018-05-01"
"bnb","2018-05-01"
"btc","2018-04-01"
"eth","2018-04-01"
"xrp","2018-04-01"
"bch","2018-04-01"
"ltc","2018-04-01"
"eos","2018-04-01"
"ada","2018-04-01"
"xlm","2018-04-01"
"neo","2018-04-01"
"iot","2018-04-01"
"xmr","2018-04-01"
"trx","2018-04-01"
"dash","2018-04-01"
"usdt","2018-04-01"
"xem","2018-04-01"
"etc","2018-04-01"
"qtum","2018-04-01"
"ven","2018-04-01"
"bnb","2018-04-01"
"icx","2018-04-01"
"btc","2018-03-01"
"eth","2018-03-01"
"xrp","2018-03-01"
"bch","2018-03-01"
"ltc","2018-03-01"
"neo","2018-03-01"
"ada","2018-03-01"
"xlm","2018-03-01"
"eos","2018-03-01"
"iot","2018-03-01"
"dash","2018-03-01"
"xmr","2018-03-01"
"xem","2018-03-01"
"etc","2018-03-01"
"trx","2018-03-01"
"ven","2018-03-01"
"usdt","2018-03-01"
"qtum","2018-03-01"
"omg","2018-03-01"
"lsk","2018-03-01"
"btc","2018-02-01"
"eth","2018-02-01"
"xrp","2018-02-01"
"bch","2018-02-01"
"ada","2018-02-01"
"neo","2018-02-01"
"ltc","2018-02-01"
"xlm","2018-02-01"
"eos","2018-02-01"
"xem","2018-02-01"
"iot","2018-02-01"
"dash","2018-02-01"
"xmr","2018-02-01"
"trx","2018-02-01"
"icx","2018-02-01"
"qtum","2018-02-01"
"etc","2018-02-01"
"btg","2018-02-01"
"lsk","2018-02-01"
"ppt","2018-02-01"
"btc","2018-01-01"
"xrp","2018-01-01"
"eth","2018-01-01"
"bch","2018-01-01"
"ada","2018-01-01"
"ltc","2018-01-01"
"iot","2018-01-01"
"xem","2018-01-01"
"dash","2018-01-01"
"xlm","2018-01-01"
"xmr","2018-01-01"
"neo","2018-01-01"
"eos","2018-01-01"
"qtum","2018-01-01"
"btg","2018-01-01"
"xvg","2018-01-01"
"trx","2018-01-01"
"xrb","2018-01-01"
"bcc","2018-01-01"
"etc","2018-01-01"
"lsk","2018-01-01"
"omg","2018-01-01"
"bts","2018-01-01"
"ardr","2018-01-01"
"ppt","2018-01-01"
"zec","2018-01-01"
"strat","2018-01-01"
"usdt","2018-01-01"
"waves","2018-01-01"
"hsr","2018-01-01"
"bcn","2018-01-01"
"doge","2018-01-01"
"kmd","2018-01-01"
"sc","2018-01-01"
"bnb","2018-01-01"
"SNT","2018-01-01"
"steem","2018-01-01"
"rep","2018-01-01"
"nxt","2018-01-01"
"salt","2018-01-01"
"dgb","2018-01-01"
"gnt","2018-01-01"
"ark","2018-01-01"
"veri","2018-01-01"
"dcr","2018-01-01"
"pivx","2018-01-01"
"mona","2018-01-01"
"fct","2018-01-01"
"zrx","2018-01-01"
"btcd","2018-01-01"
"bat","2018-01-01"
"gbyte","2018-01-01"
"pay","2018-01-01"
"maid","2018-01-01"
"xzc","2018-01-01"
"sys","2018-01-01"
"req","2018-01-01"
"powr","2018-01-01"
"fun","2018-01-01"
"btm","2018-01-01"
"knc","2018-01-01"
"xp","2018-01-01"
"rdd","2018-01-01"
"san","2018-01-01"
"storj","2018-01-01"
"kin","2018-01-01"
"kcs","2018-01-01"
"ae","2018-01-01"
"cvc","2018-01-01"
"dgd","2018-01-01"
"vtc","2018-01-01"
"gas","2018-01-01"
"wtc","2018-01-01"
"icn","2018-01-01"
"game","2018-01-01"
"btc","2017-12-01"
"eth","2017-12-01"
"bch","2017-12-01"
"xrp","2017-12-01"
"dash","2017-12-01"
"ltc","2017-12-01"
"iot","2017-12-01"
"ada","2017-12-01"
"xmr","2017-12-01"
"etc","2017-12-01"
"neo","2017-12-01"
"xem","2017-12-01"
"eos","2017-12-01"
"xlm","2017-12-01"
"qtum","2017-12-01"
"bcc","2017-12-01"
"lsk","2017-12-01"
"zec","2017-12-01"
"omg","2017-12-01"
"usdt","2017-12-01"
"strat","2017-12-01"
"waves","2017-12-01"
"ppt","2017-12-01"
"dcr","2017-12-01"
"mona","2017-12-01"
"bts","2017-12-01"
"ardr","2017-12-01"
"ark","2017-12-01"
"bcn","2017-12-01"
"rep","2017-12-01"
"kmd","2017-12-01"
"steem","2017-12-01"
"gnt","2017-12-01"
"doge","2017-12-01"
"vtc","2017-12-01"
"pay","2017-12-01"
"salt","2017-12-01"
"maid","2017-12-01"
"fct","2017-12-01"
"pivx","2017-12-01"
"dgd","2017-12-01"
"bnb","2017-12-01"
"veri","2017-12-01"
"nxt","2017-12-01"
"SNT","2017-12-01"
"sc","2017-12-01"
"gas","2017-12-01"
"bat","2017-12-01"
"gbyte","2017-12-01"
"btcd","2017-12-01"
"knc","2017-12-01"
"sys","2017-12-01"
"icn","2017-12-01"
"xzc","2017-12-01"
"game","2017-12-01"
"btm","2017-12-01"
"gno","2017-12-01"
"fun","2017-12-01"
"dgb","2017-12-01"
"block","2017-12-01"
"cvc","2017-12-01"
"bnt","2017-12-01"
"zrx","2017-12-01"
"emc2","2017-12-01"
"mtl","2017-12-01"
"lkk","2017-12-01"
"xvg","2017-12-01"
"ppc","2017-12-01"
"nxs","2017-12-01"
"zen","2017-12-01"
"san","2017-12-01"
"btg","2017-12-01"
"sngls","2017-12-01"
"storj","2017-12-01"
"part","2017-12-01"
"btc","2017-11-01"
"eth","2017-11-01"
"xrp","2017-11-01"
"bch","2017-11-01"
"ltc","2017-11-01"
"dash","2017-11-01"
"neo","2017-11-01"
"bcc","2017-11-01"
"xem","2017-11-01"
"xmr","2017-11-01"
"iot","2017-11-01"
"etc","2017-11-01"
"qtum","2017-11-01"
"omg","2017-11-01"
"zec","2017-11-01"
"lsk","2017-11-01"
"xlm","2017-11-01"
"usdt","2017-11-01"
"eos","2017-11-01"
"strat","2017-11-01"
"waves","2017-11-01"
"bcn","2017-11-01"
"ark","2017-11-01"
"steem","2017-11-01"
"kmd","2017-11-01"
"vtc","2017-11-01"
"ardr","2017-11-01"
"rep","2017-11-01"
"pay","2017-11-01"
"bts","2017-11-01"
"maid","2017-11-01"
"dcr","2017-11-01"
"pivx","2017-11-01"
"mona","2017-11-01"
"gnt","2017-11-01"
"ppt","2017-11-01"
"btm","2017-11-01"
"bat","2017-11-01"
"gas","2017-11-01"
"SNT","2017-11-01"
"mtl","2017-11-01"
"btcd","2017-11-01"
"bnb","2017-11-01"
"dgd","2017-11-01"
"knc","2017-11-01"
"fct","2017-11-01"
"doge","2017-11-01"
"gbyte","2017-11-01"
"cvc","2017-11-01"
"game","2017-11-01"
"sys","2017-11-01"
"sc","2017-11-01"
"veri","2017-11-01"
"icn","2017-11-01"
"xvg","2017-11-01"
"lkk","2017-11-01"
"block","2017-11-01"
"dgb","2017-11-01"
"bnt","2017-11-01"
"sngls","2017-11-01"
"gno","2017-11-01"
"fun","2017-11-01"
"smart","2017-11-01"
"mcap","2017-11-01"
"mco","2017-11-01"
"nxt","2017-11-01"
"bqx","2017-11-01"
"xzc","2017-11-01"
"nxs","2017-11-01"
"rlc","2017-11-01"
"nav","2017-11-01"
"part","2017-11-01"
"grs","2017-11-01"
"adx","2017-11-01"
"ioc","2017-11-01"
"btc","2017-10-01"
"eth","2017-10-01"
"xrp","2017-10-01"
"bch","2017-10-01"
"ltc","2017-10-01"
"dash","2017-10-01"
"xem","2017-10-01"
"iot","2017-10-01"
"neo","2017-10-01"
"xmr","2017-10-01"
"btc","2017-09-01"
"eth","2017-09-01"
"xrp","2017-09-01"
"ltc","2017-09-01"
"xem","2017-09-01"
"dash","2017-09-01"
"iot","2017-09-01"
"xmr","2017-09-01"
"etc","2017-09-01"
"cube","2017-09-01"
"btc","2017-08-01"
"eth","2017-08-01"
"xrp","2017-08-01"
"ltc","2017-08-01"
"xem","2017-08-01"
"dash","2017-08-01"
"etc","2017-08-01"
"iot","2017-08-01"
"xmr","2017-08-01"
"strat","2017-08-01"
"btc","2017-07-01"
"eth","2017-07-01"
"xrp","2017-07-01"
"ltc","2017-07-01"
"etc","2017-07-01"
"xem","2017-07-01"
"dash","2017-07-01"
"xmr","2017-07-01"
"strat","2017-07-01"
"bts","2017-07-01"
"zec","2017-07-01"
"ans","2017-07-01"
"gnt","2017-07-01"
"steem","2017-07-01"
"sc","2017-07-01"
"gno","2017-07-01"
"waves","2017-07-01"
"bcc","2017-07-01"
"bcn","2017-07-01"
"icn","2017-07-01"
"rep","2017-07-01"
"doge","2017-07-01"
"xlm","2017-07-01"
"lsk","2017-07-01"
"gbyte","2017-07-01"
"game","2017-07-01"
"ardr","2017-07-01"
"usdt","2017-07-01"
"maid","2017-07-01"
"fct","2017-07-01"
"dcr","2017-07-01"
"kmd","2017-07-01"
"dgd","2017-07-01"
"nxt","2017-07-01"
"dgb","2017-07-01"
"1st","2017-07-01"
"pivx","2017-07-01"
"sngls","2017-07-01"
"sys","2017-07-01"
"btcd","2017-07-01"
"lkk","2017-07-01"
"emc","2017-07-01"
"ubq","2017-07-01"
"ppc","2017-07-01"
"xas","2017-07-01"
"round","2017-07-01"
"ark","2017-07-01"
"nxs","2017-07-01"
"rdd","2017-07-01"
"rlc","2017-07-01"
"amp","2017-07-01"
"edg","2017-07-01"
"mln","2017-07-01"
"mona","2017-07-01"
"wings","2017-07-01"
"cloak","2017-07-01"
"obits","2017-07-01"
"sjcx","2017-07-01"
"xvg","2017-07-01"
"lbc","2017-07-01"
"via","2017-07-01"
"nmc","2017-07-01"
"nlg","2017-07-01"
"blk","2017-07-01"
"bay","2017-07-01"
"btc","2017-06-01"
"eth","2017-06-01"
"xrp","2017-06-01"
"xem","2017-06-01"
"etc","2017-06-01"
"ltc","2017-06-01"
"dash","2017-06-01"
"xmr","2017-06-01"
"strat","2017-06-01"
"bcn","2017-06-01"
"gnt","2017-06-01"
"zec","2017-06-01"
"xlm","2017-06-01"
"waves","2017-06-01"
"doge","2017-06-01"
"rep","2017-06-01"
"steem","2017-06-01"
"sc","2017-06-01"
"maid","2017-06-01"
"bts","2017-06-01"
"game","2017-06-01"
"dgd","2017-06-01"
"dgb","2017-06-01"
"lsk","2017-06-01"
"bcc","2017-06-01"
"sngls","2017-06-01"
"dcr","2017-06-01"
"fct","2017-06-01"
"usdt","2017-06-01"
"ardr","2017-06-01"
"icn","2017-06-01"
"round","2017-06-01"
"pivx","2017-06-01"
"gbyte","2017-06-01"
"1st","2017-06-01"
"sys","2017-06-01"
"nxt","2017-06-01"
"ans","2017-06-01"
"kmd","2017-06-01"
"omni","2017-06-01"
"xcp","2017-06-01"
"ppc","2017-06-01"
"emc","2017-06-01"
"mln","2017-06-01"
"lkk","2017-06-01"
"ubq","2017-06-01"
"rdd","2017-06-01"
"sjcx","2017-06-01"
"btcd","2017-06-01"
"xaur","2017-06-01"
"ark","2017-06-01"
"nxc","2017-06-01"
"nmc","2017-06-01"
"nlg","2017-06-01"
"nxs","2017-06-01"
"amp","2017-06-01"
"ybc","2017-06-01"
"eac","2017-06-01"
"exp","2017-06-01"
"xzc","2017-06-01"
"bay","2017-06-01"
"edr","2017-06-01"
"nav","2017-06-01"
"agrs","2017-06-01"
"block","2017-06-01"
"btc","2017-05-01"
"eth","2017-05-01"
"xrp","2017-05-01"
"ltc","2017-05-01"
"dash","2017-05-01"
"etc","2017-05-01"
"xem","2017-05-01"
"xmr","2017-05-01"
"rep","2017-05-01"
"gnt","2017-05-01"
"maid","2017-05-01"
"zec","2017-05-01"
"pivx","2017-05-01"
"doge","2017-05-01"
"dcr","2017-05-01"
"strat","2017-05-01"
"fct","2017-05-01"
"sngls","2017-05-01"
"steem","2017-05-01"
