"cc", "periodstart"
"lsk","2017-05-01"
"waves","2017-05-01"
"usdt","2017-05-01"
"dgd","2017-05-01"
"game","2017-05-01"
"bcc","2017-05-01"
"ardr","2017-05-01"
"xlm","2017-05-01"
"icn","2017-05-01"
"bts","2017-05-01"
"bcn","2017-05-01"
"gbyte","2017-05-01"
"1st","2017-05-01"
"nxt","2017-05-01"
"sc","2017-05-01"
"sys","2017-05-01"
"ppc","2017-05-01"
"emc","2017-05-01"
"sjcx","2017-05-01"
"lkk","2017-05-01"
"ans","2017-05-01"
"nmc","2017-05-01"
"ybc","2017-05-01"
"nxs","2017-05-01"
"xaur","2017-05-01"
"nav","2017-05-01"
"xzc","2017-05-01"
"crw","2017-05-01"
"agrs","2017-05-01"
"bcy","2017-05-01"
"nlg","2017-05-01"
"xcp","2017-05-01"
"blk","2017-05-01"
"btcd","2017-05-01"
"bay","2017-05-01"
"pot","2017-05-01"
"amp","2017-05-01"
"rby","2017-05-01"
"ubq","2017-05-01"
"dgb","2017-05-01"
"nxc","2017-05-01"
"block","2017-05-01"
"exp","2017-05-01"
"ioc","2017-05-01"
"nvc","2017-05-01"
"vsl","2017-05-01"
"btc","2017-04-01"
"eth","2017-04-01"
"xrp","2017-04-01"
"dash","2017-04-01"
"ltc","2017-04-01"
"btc","2017-03-01"
"eth","2017-03-01"
"dash","2017-03-01"
"xrp","2017-03-01"
"ltc","2017-03-01"
"btc","2017-02-01"
"eth","2017-02-01"
"xrp","2017-02-01"
"ltc","2017-02-01"
"xmr","2017-02-01"
"btc","2017-01-01"
"eth","2017-01-01"
"xrp","2017-01-01"
"ltc","2017-01-01"
"xmr","2017-01-01"
"etc","2017-01-01"
"dash","2017-01-01"
"maid","2017-01-01"
"rep","2017-01-01"
"steem","2017-01-01"
"xem","2017-01-01"
"fct","2017-01-01"
"waves","2017-01-01"
"doge","2017-01-01"
"dgd","2017-01-01"
"xlm","2017-01-01"
"zec","2017-01-01"
"lsk","2017-01-01"
"bts","2017-01-01"
"usdt","2017-01-01"
"scn","2017-01-01"
"nlg","2017-01-01"
"bcn","2017-01-01"
"xaur","2017-01-01"
"sdc","2017-01-01"
"btc","2016-12-01"
"eth","2016-12-01"
"xrp","2016-12-01"
"ltc","2016-12-01"
"xmr","2016-12-01"
"etc","2016-12-01"
"dash","2016-12-01"
"rep","2016-12-01"
"steem","2016-12-01"
"xem","2016-12-01"
"maid","2016-12-01"
"waves","2016-12-01"
"doge","2016-12-01"
"fct","2016-12-01"
"dgd","2016-12-01"
"lsk","2016-12-01"
"nlg","2016-12-01"
"xlm","2016-12-01"
"sdc","2016-12-01"
"bts","2016-12-01"
"xaur","2016-12-01"
"zec","2016-12-01"
"bcn","2016-12-01"
"emc","2016-12-01"
"ans","2016-12-01"
"btc","2016-11-01"
"eth","2016-11-01"
"xrp","2016-11-01"
"ltc","2016-11-01"
"etc","2016-11-01"
"xmr","2016-11-01"
"dash","2016-11-01"
"waves","2016-11-01"
"maid","2016-11-01"
"xem","2016-11-01"
"steem","2016-11-01"
"dgd","2016-11-01"
"doge","2016-11-01"
"fct","2016-11-01"
"lsk","2016-11-01"
"str","2016-11-01"
"nlg","2016-11-01"
"sdc","2016-11-01"
"bts","2016-11-01"
"bcn","2016-11-01"
"emc","2016-11-01"
"xaur","2016-11-01"
"xcp","2016-11-01"
"sc","2016-11-01"
"sjcx","2016-11-01"
"btc","2016-10-01"
"eth","2016-10-01"
"xrp","2016-10-01"
"ltc","2016-10-01"
"xmr","2016-10-01"
"etc","2016-10-01"
"dash","2016-10-01"
"steem","2016-10-01"
"maid","2016-10-01"
"xem","2016-10-01"
"dgd","2016-10-01"
"doge","2016-10-01"
"fct","2016-10-01"
"lsk","2016-10-01"
"waves","2016-10-01"
"str","2016-10-01"
"emc","2016-10-01"
"bts","2016-10-01"
"nxt","2016-10-01"
"xcp","2016-10-01"
"amp","2016-10-01"
"bcn","2016-10-01"
"sc","2016-10-01"
"sjcx","2016-10-01"
"sdc","2016-10-01"
"btc","2016-09-01"
"eth","2016-09-01"
"xrp","2016-09-01"
"ltc","2016-09-01"
"steem","2016-09-01"
"xmr","2016-09-01"
"etc","2016-09-01"
"dash","2016-09-01"
"xem","2016-09-01"
"maid","2016-09-01"
"fct","2016-09-01"
"lsk","2016-09-01"
"doge","2016-09-01"
"nxt","2016-09-01"
"dgd","2016-09-01"
"waves","2016-09-01"
"emc","2016-09-01"
"bts","2016-09-01"
"bcy","2016-09-01"
"str","2016-09-01"
"bcn","2016-09-01"
"xcp","2016-09-01"
"ppc","2016-09-01"
"sc","2016-09-01"
"naut","2016-09-01"
"btc","2016-08-01"
"eth","2016-08-01"
"steem","2016-08-01"
"xrp","2016-08-01"
"ltc","2016-08-01"
"dash","2016-08-01"
"xem","2016-08-01"
"maid","2016-08-01"
"nxt","2016-08-01"
"lsk","2016-08-01"
"doge","2016-08-01"
"amp","2016-08-01"
"xmr","2016-08-01"
"dgd","2016-08-01"
"emc","2016-08-01"
"waves","2016-08-01"
"fct","2016-08-01"
"bts","2016-08-01"
"str","2016-08-01"
"sc","2016-08-01"
"bcn","2016-08-01"
"ppc","2016-08-01"
"usdt","2016-08-01"
"agrs","2016-08-01"
"sjcx","2016-08-01"
"btc","2016-07-01"
"eth","2016-07-01"
"xrp","2016-07-01"
"ltc","2016-07-01"
"dao","2016-07-01"
"xem","2016-07-01"
"dash","2016-07-01"
"maid","2016-07-01"
"lsk","2016-07-01"
"doge","2016-07-01"
"dgd","2016-07-01"
"xmr","2016-07-01"
"nxt","2016-07-01"
"steem","2016-07-01"
"amp","2016-07-01"
"emc","2016-07-01"
"fct","2016-07-01"
"bts","2016-07-01"
"sc","2016-07-01"
"str","2016-07-01"
"ppc","2016-07-01"
"bcn","2016-07-01"
"xcp","2016-07-01"
"usdt","2016-07-01"
"sjcx","2016-07-01"
"nmc","2016-07-01"
"ybc","2016-07-01"
"naut","2016-07-01"
"agrs","2016-07-01"
"tips","2016-07-01"
"btc","2016-06-01"
"eth","2016-06-01"
"ltc","2016-06-01"
"xrp","2016-06-01"
"dash","2016-06-01"
"maid","2016-06-01"
"doge","2016-06-01"
"xem","2016-06-01"
"xmr","2016-06-01"
"tips","2016-06-01"
"bts","2016-06-01"
"ppc","2016-06-01"
"str","2016-06-01"
"fct","2016-06-01"
"amp","2016-06-01"
"ybc","2016-06-01"
"nxt","2016-06-01"
"bcn","2016-06-01"
"sjcx","2016-06-01"
"emc","2016-06-01"
"slr","2016-06-01"
"nmc","2016-06-01"
"sc","2016-06-01"
"rby","2016-06-01"
"xcp","2016-06-01"
"vox","2016-06-01"
"dcr","2016-06-01"
"usdt","2016-06-01"
"vpn","2016-06-01"
"bcy","2016-06-01"
"btc","2016-05-01"
"eth","2016-05-01"
"xrp","2016-05-01"
"ltc","2016-05-01"
"dash","2016-05-01"
"maid","2016-05-01"
"doge","2016-05-01"
"xem","2016-05-01"
"xmr","2016-05-01"
"fct","2016-05-01"
"bts","2016-05-01"
"str","2016-05-01"
"ppc","2016-05-01"
"amp","2016-05-01"
"ybc","2016-05-01"
"emc","2016-05-01"
"tips","2016-05-01"
"nxt","2016-05-01"
"bcn","2016-05-01"
"nmc","2016-05-01"
"ftc","2016-05-01"
"sys","2016-05-01"
"vpn","2016-05-01"
"xcp","2016-05-01"
"rby","2016-05-01"
"sjcx","2016-05-01"
"grc","2016-05-01"
"dcr","2016-05-01"
"scot","2016-05-01"
"blk","2016-05-01"
"btc","2016-04-01"
"eth","2016-04-01"
"xrp","2016-04-01"
"dash","2016-04-01"
"maid","2016-04-01"
"doge","2016-04-01"
"xmr","2016-04-01"
"bts","2016-04-01"
"fct","2016-04-01"
"xem","2016-04-01"
"emc","2016-04-01"
"str","2016-04-01"
"ppc","2016-04-01"
"bcn","2016-04-01"
"nxt","2016-04-01"
"tips","2016-04-01"
"amp","2016-04-01"
"nmc","2016-04-01"
"ybc","2016-04-01"
"xcp","2016-04-01"
"grc","2016-04-01"
"vpn","2016-04-01"
"sjcx","2016-04-01"
"sys","2016-04-01"
"rby","2016-04-01"
"dgb","2016-04-01"
"bcy","2016-04-01"
"blk","2016-04-01"
"dcr","2016-04-01"
"scot","2016-04-01"
"start","2016-04-01"
"nsr","2016-04-01"
"xvc","2016-04-01"
"mona","2016-04-01"
"gmc","2016-04-01"
"btcd","2016-04-01"
"muse","2016-04-01"
"rads","2016-04-01"
"vrc","2016-04-01"
"sc","2016-04-01"
"usdt","2016-04-01"
"mint","2016-04-01"
"exp","2016-04-01"
"vtc","2016-04-01"
"ftc","2016-04-01"
"qora","2016-04-01"
"xpm","2016-04-01"
"sdc","2016-04-01"
"unity","2016-04-01"
"qrk","2016-04-01"
"nvc","2016-04-01"
"rdd","2016-04-01"
"ioc","2016-04-01"
"gemz","2016-04-01"
"aur","2016-04-01"
"btc","2016-03-01"
"eth","2016-03-01"
"xrp","2016-03-01"
"ltc","2016-03-01"
"doge","2016-03-01"
"dash","2016-03-01"
"ppc","2016-03-01"
"bts","2016-03-01"
"xmr","2016-03-01"
"str","2016-03-01"
"fct","2016-03-01"
"emc","2016-03-01"
"nxt","2016-03-01"
"bcn","2016-03-01"
"ybc","2016-03-01"
"xem","2016-03-01"
"nmc","2016-03-01"
"vpn","2016-03-01"
"rby","2016-03-01"
"bcy","2016-03-01"
"amp","2016-03-01"
"nsr","2016-03-01"
"grc","2016-03-01"
"blk","2016-03-01"
"sjcx","2016-03-01"
"mona","2016-03-01"
"eac","2016-03-01"
"tips","2016-03-01"
"xcp","2016-03-01"
"sys","2016-03-01"
"gcr","2016-03-01"
"nvc","2016-03-01"
"qrk","2016-03-01"
"dgb","2016-03-01"
"vrc","2016-03-01"
"mint","2016-03-01"
"start","2016-03-01"
"xpm","2016-03-01"
"xvc","2016-03-01"
"fc2","2016-03-01"
"gemz","2016-03-01"
"gmc","2016-03-01"
"btcd","2016-03-01"
"ifc","2016-03-01"
"sc","2016-03-01"
"wdc","2016-03-01"
"vtc","2016-03-01"
"mi","2016-03-01"
"note","2016-03-01"
"neu","2016-03-01"
"rdd","2016-03-01"
"swarm","2016-03-01"
"mec","2016-03-01"
"nbt","2016-03-01"
"unity","2016-03-01"
"btc","2016-02-01"
"xrp","2016-02-01"
"eth","2016-02-01"
"ltc","2016-02-01"
"doge","2016-02-01"
"dash","2016-02-01"
"ppc","2016-02-01"
"emc","2016-02-01"
"bts","2016-02-01"
"str","2016-02-01"
"nxt","2016-02-01"
"fct","2016-02-01"
"bcn","2016-02-01"
"ybc","2016-02-01"
"nmc","2016-02-01"
"xmr","2016-02-01"
"vpn","2016-02-01"
"xem","2016-02-01"
"amp","2016-02-01"
"nsr","2016-02-01"
"rby","2016-02-01"
"eac","2016-02-01"
"grc","2016-02-01"
"blk","2016-02-01"
"xcp","2016-02-01"
"mona","2016-02-01"
"mi","2016-02-01"
"fc2","2016-02-01"
"bcy","2016-02-01"
"gemz","2016-02-01"
"sjcx","2016-02-01"
"start","2016-02-01"
"qrk","2016-02-01"
"dgb","2016-02-01"
"xpm","2016-02-01"
"btcd","2016-02-01"
"nvc","2016-02-01"
"ifc","2016-02-01"
"vrc","2016-02-01"
"gcr","2016-02-01"
"unity","2016-02-01"
"wdc","2016-02-01"
"vtc","2016-02-01"
"nbt","2016-02-01"
"mint","2016-02-01"
"xvc","2016-02-01"
"rdd","2016-02-01"
"xpy","2016-02-01"
"rbt","2016-02-01"
"mec","2016-02-01"
"sdc","2016-02-01"
"tips","2016-02-01"
"slr","2016-02-01"
"fair","2016-02-01"
"dgc","2016-02-01"
"btc","2016-01-01"
"xrp","2016-01-01"
"ltc","2016-01-01"
"eth","2016-01-01"
"dash","2016-01-01"
"doge","2016-01-01"
"ppc","2016-01-01"
"bts","2016-01-01"
"nxt","2016-01-01"
"maid","2016-01-01"
"nmc","2016-01-01"
"bcn","2016-01-01"
"xmr","2016-01-01"
"fct","2016-01-01"
"rby","2016-01-01"
"grc","2016-01-01"
"nsr","2016-01-01"
"unity","2016-01-01"
"emc","2016-01-01"
"omni","2016-01-01"
"btc","2015-12-01"
"ltc","2015-12-01"
"xrp","2015-12-01"
"eth","2015-12-01"
"doge","2015-12-01"
"dash","2015-12-01"
"ppc","2015-12-01"
"str","2015-12-01"
"bts","2015-12-01"
"nmc","2015-12-01"
"nxt","2015-12-01"
"maid","2015-12-01"
"nsr","2015-12-01"
"grc","2015-12-01"
"bcn","2015-12-01"
"xmr","2015-12-01"
"rby","2015-12-01"
"ybc","2015-12-01"
"xcp","2015-12-01"
"blk","2015-12-01"
"btc","2015-11-01"
"ltc","2015-11-01"
"xrp","2015-11-01"
"eth","2015-11-01"
"dash","2015-11-01"
"doge","2015-11-01"
"bts","2015-11-01"
"str","2015-11-01"
"ppc","2015-11-01"
"nxt","2015-11-01"
"maid","2015-11-01"
"bcn","2015-11-01"
"nmc","2015-11-01"
"xmr","2015-11-01"
"grc","2015-11-01"
"nsr","2015-11-01"
"xcp","2015-11-01"
"xce","2015-11-01"
"rby","2015-11-01"
"blk","2015-11-01"
"btc","2015-10-01"
"xrp","2015-10-01"
"ltc","2015-10-01"
"eth","2015-10-01"
"bts","2015-10-01"
"dash","2015-10-01"
"banx","2015-10-01"
"doge","2015-10-01"
"str","2015-10-01"
"maid","2015-10-01"
"ppc","2015-10-01"
"nxt","2015-10-01"
"bcn","2015-10-01"
"nmc","2015-10-01"
"xmr","2015-10-01"
"btc","2015-09-01"
"xrp","2015-09-01"
"ltc","2015-09-01"
"dash","2015-09-01"
"doge","2015-09-01"
"banx","2015-09-01"
"str","2015-09-01"
"bcn","2015-09-01"
"maid","2015-09-01"
"bts","2015-09-01"
"nxt","2015-09-01"
"ppc","2015-09-01"
"nmc","2015-09-01"
"xmr","2015-09-01"
"mona","2015-09-01"
"btc","2015-08-01"
"xrp","2015-08-01"
"ltc","2015-08-01"
"dash","2015-08-01"
"doge","2015-08-01"
"maid","2015-08-01"
"bcn","2015-08-01"
"banx","2015-08-01"
"str","2015-08-01"
"bts","2015-08-01"
"ppc","2015-08-01"
"nxt","2015-08-01"
"nmc","2015-08-01"
"xmr","2015-08-01"
"xcp","2015-08-01"
"btc","2015-07-01"
"xrp","2015-07-01"
"ltc","2015-07-01"
"doge","2015-07-01"
"bts","2015-07-01"
"btc","2015-06-01"
"xrp","2015-06-01"
"ltc","2015-06-01"
"bts","2015-06-01"
"str","2015-06-01"
"btc","2015-05-01"
"xrp","2015-05-01"
"ltc","2015-05-01"
"dash","2015-05-01"
"str","2015-05-01"
"btc","2015-04-01"
"xrp","2015-04-01"
"ltc","2015-04-01"
"dash","2015-04-01"
"bts","2015-04-01"
"doge","2015-04-01"
"str","2015-04-01"
"maid","2015-04-01"
"nxt","2015-04-01"
"xpy","2015-04-01"
"ppc","2015-04-01"
"xmr","2015-04-01"
"banx","2015-04-01"
"nmc","2015-04-01"
"xcp","2015-04-01"
"rbt","2015-04-01"
"bcn","2015-04-01"
"nsr","2015-04-01"
"mona","2015-04-01"
"start","2015-04-01"
"nbt","2015-04-01"
"unity","2015-04-01"
"ybc","2015-04-01"
"blk","2015-04-01"
"btcd","2015-04-01"
"gemz","2015-04-01"
"note","2015-04-01"
"swarm","2015-04-01"
"omni","2015-04-01"
"sdc","2015-04-01"
"btc","2015-03-01"
"xrp","2015-03-01"
"ltc","2015-03-01"
"bts","2015-03-01"
"dash","2015-03-01"
"doge","2015-03-01"
"maid","2015-03-01"
"nxt","2015-03-01"
"xpy","2015-03-01"
"str","2015-03-01"
"ppc","2015-03-01"
"nmc","2015-03-01"
"rbt","2015-03-01"
"nsr","2015-03-01"
"unity","2015-03-01"
"xcp","2015-03-01"
"xmr","2015-03-01"
"ybc","2015-03-01"
"nbt","2015-03-01"
"bcn","2015-03-01"
"mona","2015-03-01"
"fc2","2015-03-01"
"gemz","2015-03-01"
"omni","2015-03-01"
"note","2015-03-01"
"swarm","2015-03-01"
"blk","2015-03-01"
"btcd","2015-03-01"
"sjcx","2015-03-01"
"xdn","2015-03-01"
"btc","2015-02-01"
"xrp","2015-02-01"
"ltc","2015-02-01"
"bts","2015-02-01"
"xpy","2015-02-01"
"str","2015-02-01"
"maid","2015-02-01"
"doge","2015-02-01"
"nxt","2015-02-01"
"dash","2015-02-01"
"ppc","2015-02-01"
"xcp","2015-02-01"
"nmc","2015-02-01"
"nsr","2015-02-01"
"banx","2015-02-01"
"ybc","2015-02-01"
"unity","2015-02-01"
"nbt","2015-02-01"
"fc2","2015-02-01"
"xmr","2015-02-01"
"bcn","2015-02-01"
"xvc","2015-02-01"
"btcd","2015-02-01"
"swarm","2015-02-01"
"sjcx","2015-02-01"
"xtc","2015-02-01"
"qrk","2015-02-01"
"note","2015-02-01"
"bitusd","2015-02-01"
"mona","2015-02-01"
"btc","2015-01-01"
"xrp","2015-01-01"
"ltc","2015-01-01"
"bts","2015-01-01"
"maid","2015-01-01"
"str","2015-01-01"
"doge","2015-01-01"
"nxt","2015-01-01"
"ppc","2015-01-01"
"xcp","2015-01-01"
"dash","2015-01-01"
"nmc","2015-01-01"
"fc2","2015-01-01"
"nsr","2015-01-01"
"unity","2015-01-01"
"ybc","2015-01-01"
"banx","2015-01-01"
"blk","2015-01-01"
"xmr","2015-01-01"
"nbt","2015-01-01"
"sjcx","2015-01-01"
"bcn","2015-01-01"
"btcd","2015-01-01"
"qrk","2015-01-01"
"ftc","2015-01-01"
"note","2015-01-01"
"rdd","2015-01-01"
"xpm","2015-01-01"
"ixc","2015-01-01"
"nxtty","2015-01-01"
"btc","2014-12-01"
"xrp","2014-12-01"
"ltc","2014-12-01"
"doge","2014-12-01"
"nxt","2014-12-01"
"ppc","2014-12-01"
"xcp","2014-12-01"
"maid","2014-12-01"
"dash","2014-12-01"
"nmc","2014-12-01"
"str","2014-12-01"
"fc2","2014-12-01"
"unity","2014-12-01"
"banx","2014-12-01"
"nsr","2014-12-01"
"xmr","2014-12-01"
"btcd","2014-12-01"
"nbt","2014-12-01"
"blk","2014-12-01"
"omni","2014-12-01"
"nxtv","2014-12-01"
"ftc","2014-12-01"
"nxtty","2014-12-01"
"swarm","2014-12-01"
"bcn","2014-12-01"
"qrk","2014-12-01"
"bitusd","2014-12-01"
"xpm","2014-12-01"
"pnd","2014-12-01"
"rdd","2014-12-01"
"btc","2014-11-01"
"xrp","2014-11-01"
"ltc","2014-11-01"
"bts","2014-11-01"
"doge","2014-11-01"
"nxt","2014-11-01"
"ppc","2014-11-01"
"nmc","2014-11-01"
"maid","2014-11-01"
"dash","2014-11-01"
"xcp","2014-11-01"
"btcd","2014-11-01"
"nxtty","2014-11-01"
"xmr","2014-11-01"
"str","2014-11-01"
"blk","2014-11-01"
"banx","2014-11-01"
"nbt","2014-11-01"
"ftc","2014-11-01"
"bcn","2014-11-01"
"qrk","2014-11-01"
"omni","2014-11-01"
"nxtv","2014-11-01"
"zet","2014-11-01"
"swarm","2014-11-01"
"pnd","2014-11-01"
"rdd","2014-11-01"
"xpm","2014-11-01"
"uro","2014-11-01"
"xc","2014-11-01"
"btc","2014-10-01"
"ltc","2014-10-01"
"xrp","2014-10-01"
"bts","2014-10-01"
"doge","2014-10-01"
"nxt","2014-10-01"
"ppc","2014-10-01"
"dash","2014-10-01"
"nmc","2014-10-01"
"maid","2014-10-01"
"btc","2014-09-01"
"ltc","2014-09-01"
"xrp","2014-09-01"
"nxt","2014-09-01"
"ppc","2014-09-01"
"doge","2014-09-01"
"dash","2014-09-01"
"nmc","2014-09-01"
"maid","2014-09-01"
"xmr","2014-09-01"
"btc","2014-08-01"
"ltc","2014-08-01"
"nxt","2014-08-01"
"xrp","2014-08-01"
"dash","2014-08-01"
"ppc","2014-08-01"
"doge","2014-08-01"
"nmc","2014-08-01"
"maid","2014-08-01"
"blk","2014-08-01"
